0,1,2,3,4,5,6,7,8,9,10,11,12,filename
-2.465746,1.4415274,1.4358602,1.6397568,0.8327602,2.025144,1.2773219,-0.7749463,1.3176539,0.63815445,-0.9586935,1.0525885,1.6657115,1.mp3
-0.22006154,-0.30514735,1.0867305,-1.6875972,-1.0263963,-0.71983284,-0.3984065,1.4408664,-0.5723182,-0.44836572,1.9219289,0.3673817,0.13612263,10.mp3
-0.1834037,0.5243129,-0.2389052,0.19201052,-1.6403844,-1.2399598,0.24224831,1.5900444,0.66459304,-0.69534594,0.1513877,-0.8240694,-1.0992457,2.mp3
0.19721603,-0.2290752,-0.50137156,-0.66996056,1.3042521,0.17449296,0.7524202,1.1804645,-1.7865454,2.2689557,-0.8857515,-1.0563743,0.6695193,3.mp3
0.6091383,-1.4861935,0.044841804,-1.2356751,0.6583751,-0.04568243,-1.443207,-0.68313533,0.23628545,-0.43435833,-0.7679222,1.5828397,-0.92233324,4.mp3
-0.26092565,0.43627018,-1.9446476,0.5689129,0.43200824,1.4382845,0.8122347,-1.3364271,0.2607513,-0.24397734,0.57491076,0.40516052,0.90972877,5.mp3
0.8061206,-1.5084531,-1.0801711,-0.09326052,0.88735396,-0.6815015,-1.9009829,-0.8134874,0.18551965,-1.1302161,1.4045777,0.1006619,-1.077564,6.mp3
1.2250807,0.8482298,-0.41534242,1.2059375,-0.29404622,0.4262506,0.9077942,-0.36638075,0.5219978,0.55944604,-1.2895501,-1.4855387,1.1771364,7.mp3
-0.61743456,-0.87776244,0.9183876,-0.53485394,-1.4992869,-0.9601379,-0.55679756,-0.5215082,-1.7423794,-1.2029932,-0.15365407,-1.087544,-0.36847794,8.mp3
0.91001564,1.1562915,0.69461775,0.6147293,0.34536415,-0.41705745,0.30737466,0.28450996,0.91444194,0.68870044,0.0027662686,0.944894,-1.0905976,9.mp3
